VIAF	Name	Last	First	Title	Born	Dead	Wikipedia	Portrait	Profession	Gender	SocialStatus	Nationality	RelatedWithID	Type	Roles	Source
zz007	Comtesse d'Amblimont	Amblimont								female	aristocrat	French		hostess		Clarétie 19
zz008	marquise d'Armenonville	Armenonville								female	aristocrat	French				Clarétie 19
zz009	Duchesse de Bourgogne	Bourgogne								female	aristocrat	French				Clarétie 18
zz010	mlles Fauconnier	Fauconnier								female		French	duc de Grammont	actress		Clarétie 18
zz011	Comtesse de Forcalquier	Forcalquier, de	Marie-Françoise Renée de Carbonnel de Canisy	marquise d'Antin; comtesse de Forcalquier	1725	1796				female	aristocrat	French			soubrettes	
zz012	duc d'Havré	Havré	Joseph-Anne-Maximilien de Croÿ d'	duc d'Havré	1744	1839	http://fr.wikipedia.org/wiki/Joseph-Anne-Maximilien_de_Cro%C3%BF_d%27Havr%C3%A9	http://upload.wikimedia.org/wikipedia/commons/2/28/Joseph_Anne_Maximilien_de_Cro%C3%BF_d%27Havr%C3%A9.jpg	Amateur actor	male	aristocrat	French	duc de Croÿ	actor in his troupe		Clarétie 22
zz013	Marquise de Mirepoix	Mirepoix		marquise de Mirepoix						female	aristocrat	French			grandes coquettes	
zz014	M de Montgeron	Mongeron								male		French				Clarétie 18
zz015	baronne de Montalembert	Montalembert, de								female	aristocrat	French				Clarétie 19
zz016	M de Montigny	Montigny								male		French				Clarétie 19
zz017	comtesse de Podenas	Podenas								male	aristocrat	French				Clarétie 19
zz018	marquis de Prunelay	Prunelay								male	aristocrat	French				Clarétie 19
zz019	M. de Rheims	Rheims								male		French				Clarétie 19
zz020	Roy	Roy							Author	male		French				Clarétie 19
zz021	vicomte de Sainte-Hermine	Sainte-Hermine								male	aristocrat	French				Clarétie 19
zz022	comte de Senectère	Senectère		comte de Senectère					Author	male	aristocrat	French				Clarétie 18
zz023	marquis de Surgères	Surgères								male		French				Clarétie 19
zz024	Comte de Tressan	Tressan	Louis-Élisabeth de La Vergne de	comte de Tressan	1705	1783	http://en.wikipedia.org/wiki/Louis-%C3%89lisabeth_de_La_Vergne_de_Tressan	http://upload.wikimedia.org/wikipedia/commons/5/5e/Tressan.jpg		male	aristocrat	French				Clarétie 19
zz025	Marquis d'Ussé	Ussé, d'		marquis d'Ussé						male	aristocrat	French			pères nobles	
101388373	Duc d'Ayen, Jean-Louis-Paul-François	duc d'Ayen	Jean-Louis-Paul-François	duc d'Ayen, duc de Noailles (5th)	1739	1824	http://en.wikipedia.org/wiki/Jean_de_Noailles			male	aristocrat	French				Clarétie 18
102099473	Marivaux, Pierre Carlet de Chamblain de	Marivaux	Pierre Carlet de Chamblain de		1688	1763	http://fr.wikipedia.org/wiki/Marivaux	http://upload.wikimedia.org/wikipedia/commons/4/4c/Marivaux.jpeg	Author	male		French				
103652965	Vaudreuil, comte de 	Vaudreuil	Joseph Hyacinthe François de Paule de Rigaud	comte de Vaudreuil	1740	1817		http://upload.wikimedia.org/wikipedia/commons/b/b6/Comte_de_Vaudreuil2.jpg		male	aristocrat	French				
118096	Hénault, Charles-Jean-François, Président 	Hénault	Charles-Jean-François d'Armorezan	"dit \""le président Hénault\"""	1685	1770	http://fr.wikipedia.org/wiki/Pr%C3%A9sident_H%C3%A9nault	http://upload.wikimedia.org/wikipedia/commons/f/f2/C.J.F._H%C3%A9nault_1.jpg	Author	male	aristocrat	French	Mme de Rochefort	content provider		
12329829	marquis de Bièvre	Bièvre	François-Georges Maréchal	marquis de Bièvre	1747	1789	http://fr.wikipedia.org/wiki/Fran%C3%A7ois-Georges_Mareschal_de_Bi%C3%A8vre		playwright	male	aristocrat	French				Clarétie 19
12404213	Conti, prince de	Bourbon	François-Louis de	prince de Conti	1717	1776	http://fr.wikipedia.org/wiki/Louis_Fran%C3%A7ois_de_Bourbon-Conti	http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Louis_15.jpg/458px-Louis_15.jpg		male	aristocrat	French				
12413322	Dumesnil, Mlle	Dumesnil	Marie Françoise		1713	1803	http://fr.wikipedia.org/wiki/Mademoiselle_Dumesnil	http://upload.wikimedia.org/wikipedia/commons/b/be/DumesnilAthalie.jpg		female		French				
14779178	Laujon, Pierre	Laujon	Pierre		1727	1811	http://fr.wikipedia.org/wiki/Pierre_Laujon	http://upload.wikimedia.org/wikipedia/commons/e/eb/Pierre_Laujon_1806.jpg	playwright,poet, songwriter	male		French	comte de Clermont, prince de condé	secretary		
15035815	Du Coudray, Alexandre-Jacques Chevalier, dit le chevalier	Coudray, Du	Alexandre-Jacques Chevalier	chevalier du Coudray	1744	1790				male	aristocrat	French				
165934	Estrées, Maréchal d’	Estrées	Louis Charles César Le Tellier	duc d'Estrées	1695	1771	http://en.wikipedia.org/wiki/Louis_Charles_C%C3%A9sar_Le_Tellier	https://upload.wikimedia.org/wikipedia/commons/4/4e/Louis_Charles_C%C3%A9sar_Le_Tellier.jpg		male	aristocrat	French				Hautecoeur, 340
171869898	Ferté-Imbault, marquise de	Ferté-Imbault	Marie-Thérèse Geoffrin La	Marquise de la Ferté-Imbault	1715	1791				female	aristocrat	French				Dinaux, I, p. 438-439
189665187	Forcalquier, Louis Bufile de Brancas, dit Comte de	Brancas, de	Louis Bufile de Brancas	comte de Forcalquier	1710	1753	http://fr.wikipedia.org/wiki/Louis_de_Brancas			male	aristocrat	French	Mme de Rochefort	content provider	amoureux/petits maîtres	
19673282	Louis Anseaume	Anseaume	Louis		1721	1748	http://fr.wikipedia.org/wiki/Louis_Anseaume		playwright, librettist	male		French	Favart	co-author		
19950289	Orléans, duc d'	Orléans	Louis-Philippe I, d'	duc de Chartres, duc d'Orléans, de Valois, de Nemours et de Montpensier, premier prince du sang	1725	1785	http://fr.wikipedia.org/wiki/Louis-Philippe_d%27Orl%C3%A9ans_(1725-1785)#Mariage	http://upload.wikimedia.org/wikipedia/commons/a/ab/Louis-Philippe_by_Welper.jpg		male	aristocrat	French	Charles Collé	employer		Clarétie
22140197	Colardeau, Charles-Pierre	Colardeau	Charles-Pierre		1732	1776	http://fr.wikipedia.org/wiki/Charles-Pierre_Colardeau	http://upload.wikimedia.org/wikipedia/commons/f/f2/Charles-Pierre_Colardeau.png	poet	male		French				
24610992	Malézieu	Malézieu	Nicolas de	académicien	1650	1727	http://fr.wikipedia.org/wiki/Nicolas_de_Mal%C3%A9zieu	http://upload.wikimedia.org/wikipedia/commons/8/8e/Nicolas_de_Mal%C3%A9zieu.jpg	author, mathematician	male	aristocrat	French				
250969499	Bourbon, la duchesse de	Bourbon	Louise Marie Thérèse Bathilde d'Orléans	duchesse de Bourbon	1750	1822	http://fr.wikipedia.org/wiki/Bathilde_d%27Orl%C3%A9ans	https://upload.wikimedia.org/wikipedia/commons/9/9e/Portrait_of_Bathilde_d%E2%80%99Orl%C3%A9ans.jpg		female	aristocrat	French				
265439180	chevalier d'Assas	Assas	Nicolas-Louis d'	dit chevalier d'Assas	1733	1760	http://fr.wikipedia.org/wiki/Louis_d%27Assas	http://upload.wikimedia.org/wikipedia/commons/5/5c/Mort_du_chevalier_d%27Assas.JPG		male	aristocrat	French				Clarétie 19
27200233	Laurès, Antoine	Laurès	Antoine		1708	1779			Author	male		French				
29529962	Beaumarchais, Pierre-Augustin Caron de	Beaumarchais	Pierre-Augustin Caron de						playwright	male		French				
29543878	Collé, Charles 	Collé	Charles		1709	1783	http://en.wikipedia.org/wiki/Charles_Coll%C3%A9	http://upload.wikimedia.org/wikipedia/commons/f/f6/Charles_Coll%C3%A9.jpg	Songwriter, playwright	male		French	Duc d'Orléans	Employed by/Secretary to		
29544176	marquis de Ximénès	Ximénès	Augustin Louis de	marquis de Ximénès	1728	1817	http://fr.wikipedia.org/wiki/Augustin_Louis_de_Xim%C3%A9n%C3%A8s			male	aristocrat	French				Clarétie 19
29544512	Moncrif, François-Augustin Paradis de 	Moncrif	François-Augustin Paradis de		1687	1770	http://fr.wikipedia.org/wiki/Fran%C3%A7ois-Augustin_de_Paradis_de_Moncrif	http://upload.wikimedia.org/wikipedia/commons/0/00/Moncrif_2.jpg	author, poet	male		French				
29558132	Grandval	Grandval	Charles-François Racot de		1710	1784	http://fr.wikipedia.org/wiki/Charles-fran%C3%A7ois_racot_de_grandval			male		French				Capon, 1902, p. 82
29576140	Rousseau, Pierre	Rousseau	Pierre		1725	1785			Author	male		French				
32006642	Favart, Charles-Simon	Favart	Charles-Simon		1710	1792	http://en.wikipedia.org/wiki/Charles-Simon_Favart	http://upload.wikimedia.org/wikipedia/commons/f/f9/Charles-Simon_Favart_by_Paul_Jourdy.jpg	Author	male		French				
32040299	Durosoy	Durosoy	Barnabé Farmian		1745	1792	http://fr.wikipedia.org/wiki/Barnab%C3%A9_Farmian_Durosoy		Author	male		French				Clarétie 18
33450015	Verrières	Rinteau	Marie		1728	1775				female		French				A. Jullien, Le théâtre des Dlles Verrières, p. 12-15
34466290	Garnier, Charles-Georges-Thomas	Garnier	Charles-Georges-Thomas		1746	1795			poet	male		French				
34466972	Rochon de Chabannes, Marc-Antoine-Jacques	Ronchon de Chabannes	Marc-Antoine-Jacques		1730	1800	http://fr.wikipedia.org/wiki/Marc-Antoine-Jacques_Rochon_de_Chabannes		Author	male		French				
36919157	Graffigny, Françoise d'Issembourg d'Happoncurt, Mme de	Graffigny, de	Françoise d'Issembourg d'Happoncurt		1695	1758	http://fr.wikipedia.org/wiki/Fran%C3%A7oise_de_Graffigny	http://upload.wikimedia.org/wikipedia/commons/f/f0/GraffignybyRumilly.jpg	Author	female	aristocrat	French				
36919368	Gueulette, Thomas-Simon	Gueulette	Thomas-Simon		1683	1766	http://fr.wikipedia.org/wiki/Thomas-Simon_Gueullette		author, actor	male		French				
36925746	Voltaire	Voltaire	François Marie Arouet de		1694	1778	http://fr.wikipedia.org/wiki/Voltaire	http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Nicolas_de_Largilli%C3%A8re%2C_Fran%C3%A7ois-Marie_Arouet_dit_Voltaire_%28vers_1724-1725%29_-001.jpg/478px-Nicolas_de_Largilli%C3%A8re%2C_Fran%C3%A7ois-Marie_Arouet_dit_Voltaire_%28vers_1724-1725%29_-001.jpg	Author:amateur actor	male		French				
39431994	Brancas, duc de	Brancas	Louis-Léon-Félicité de	comte de Lauraguais, duc de Villars	1733	1824	http://fr.wikipedia.org/wiki/Louis-L%C3%A9on_de_Brancas			male	aristocrat	French				Hautecoeur, 340
41844665	Palissot	Palissot de Montenoy	Charles		1730	1814	http://fr.wikipedia.org/wiki/Palissot	http://upload.wikimedia.org/wikipedia/commons/c/c1/Palissot.jpg	author	male		French				Supplément aux Anecdotes dramatiques de La Porte et Clément, p. 256
44405971	Lekain	Lekain	Henri-Louis Caïn		1729	1778	http://fr.wikipedia.org/wiki/Lekain	http://upload.wikimedia.org/wikipedia/commons/2/28/Lekain_portrait-3.jpg	actor	male		French				Olivier, Le Kain, p. 8
46771127	Poinsinet, Antoine-Alexandre-Henri	Poinsinet,	Antoine-Alexandre-Henri		1735	1769	http://fr.wikipedia.org/wiki/Antoine-Alexandre-Henri_Poinsinet		Author	male		French				
4928943	Desfontaines, Guillaume-François Fouques 	Desfontaines	Guillaume-François Fouques 		1733	1825	http://fr.wikipedia.org/wiki/Fran%C3%A7ois-Georges_Fouques_Deshayes		Author	male		French				
49487265	Clérmont d'Amboise, Marquis de 	Clérmont d'Amboise		marquis de Clérmont d'Amboise					Author:Amateur actor	male	aristocrat	French			amoureux/petits maîtres	
49624643	Prince de Solre	Croÿ	Anne-Emmanuel-Ferdinand-François de	prince de Solre et du Saint-Empire	1743	1803	http://fr.wikipedia.org/wiki/Anne-Emmanuel_de_Cro%C3%BF			male	aristocrat	French	duc de Croÿ	son, actor		
51248885	Guémené, le prince	Rohan-Guéméné	Henri Louis Marie de Rohan	prince de Guéméné	1745	1808	http://fr.wikipedia.org/wiki/Henri_Louis_Marie_de_Rohan,_prince_de_Rohan-Gu%C3%A9m%C3%A9n%C3%A9			male		French				Besenval, Mémoires, Vol 2, p. 44
